date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:48	86771/86771	---M-Z	200	added ('OK')	text/html	etag:%22152f3-5ff336eb-96ec3e644587dc2c;gz%22	http://demo.foxthemes.net/instellohtml/feed.html	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/feed.html	(from )
11:40:48	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d147102-eb70bee584e7d266;gz%22	http://demo.foxthemes.net/robots.txt		(from )
11:40:48	574/574	---M--	200	added ('OK')	image/png	etag:%2223e-5fc6881c-59d25125e6e4f887;;;%22	http://demo.foxthemes.net/instellohtml/assets/images/favicon.png	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/assets/images/favicon.png	(from http://demo.foxthemes.net/instellohtml/feed.html)
11:40:49	102595/102595	---M-Z	200	added ('OK')	text/css	etag:%22190c3-5fc687e3-4d02214d808ebfef;gz%22	http://demo.foxthemes.net/instellohtml/assets/css/icons.css	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/assets/css/icons.css	(from http://demo.foxthemes.net/instellohtml/feed.html)
11:40:50	366478/366478	---M-Z	200	added ('OK')	text/css	etag:%225978e-5fc687f1-dc8fc91373d1fad2;gz%22	http://demo.foxthemes.net/instellohtml/assets/css/uikit.css	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/assets/css/uikit.css	(from http://demo.foxthemes.net/instellohtml/feed.html)
11:40:51	58594/58594	---M-Z	200	added ('OK')	text/css	etag:%22e4e2-5fc687e3-fcdbc87a737f5987;gz%22	http://demo.foxthemes.net/instellohtml/assets/css/style.css	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/assets/css/style.css	(from http://demo.foxthemes.net/instellohtml/feed.html)
11:40:51	38837/38837	---M-Z	200	added ('OK')	text/css	etag:%2297b5-5ff33681-7cdc886bc608e448;gz%22	http://demo.foxthemes.net/instellohtml/assets/css/tailwind.css	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/assets/css/tailwind.css	(from http://demo.foxthemes.net/instellohtml/feed.html)
11:40:52	13905/13905	---M--	200	added ('OK')	image/png	etag:%223651-5fc6881c-1d50c637a25b347f;;;%22	http://demo.foxthemes.net/instellohtml/assets/images/logo.png	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/assets/images/logo.png	(from http://demo.foxthemes.net/instellohtml/feed.html)
11:40:52	12635/12635	---M--	200	added ('OK')	image/png	etag:%22315b-5fc6881d-4a4e826dc01e28b6;;;%22	http://demo.foxthemes.net/instellohtml/assets/images/logo-light.png	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/assets/images/logo-light.png	(from http://demo.foxthemes.net/instellohtml/feed.html)
11:40:52	5221/5221	---M--	200	added ('OK')	image/jpeg	etag:%221465-5fc5315e-6840274e940c8009;;;%22	http://demo.foxthemes.net/instellohtml/assets/images/avatars/avatar-2.jpg	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/assets/images/avatars/avatar-2.jpg	(from http://demo.foxthemes.net/instellohtml/feed.html)
11:40:52	49797/49797	---M-Z	200	added ('OK')	text/html	etag:%22c285-5ff336ee-f85e07a1e48dfd67;gz%22	http://demo.foxthemes.net/instellohtml/profile.html	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/profile.html	(from http://demo.foxthemes.net/instellohtml/feed.html)
11:40:53	48029/48029	---M-Z	200	added ('OK')	text/html	etag:%22bb9d-5ff336f4-7df471b5dc4ca9c3;gz%22	http://demo.foxthemes.net/instellohtml/explore.html	C:/Users/Admin/Desktop/boottrap/feed/demo.foxthemes.net/instellohtml/explore.html	(from http://demo.foxthemes.net/instellohtml/feed.html)
